"V1","V2"
32,20
45,33
646,522
643,535
635,526
30,14
21,9
22,7
411,163
339,219
108,79
33,22
259,84
817,522
38,7
24,6
19,14
85,23
123,74
38,14
40,25
23,17
534,140
17,13
69,53
343,109
53,11
14,10
219,132
139,107
33,10
11,3
10,8
19,16
44,15
131,98
297,204
29,19
81,25
44,15
119,83
21,8
13,7
13,6
12,5
12,6
27,19
30,10
786,269
24,8
10,8
28,22
109,48
10,7
11,3
164,122
380,134
32,10
20,16
40,22
39,18
28,6
111,69
619,427
32,13
22,10
18,10
18,8
18,5
13,7
13,7
18,15
36,23
132,100
184,44
431,84
432,89
232,61
238,65
16,7
18,8
14,8
138,61
10,5
18,11
18,11
18,9
18,9
11,9
967,652
194,52
46,38
10,7
67,42
105,44
168,66
19,7
195,62
111,45
143,91
233,81
181,123
181,43
168,105
46,18
92,40
268,74
79,55
256,78
182,128
16,9
97,75
63,40
145,101
851,295
673,479
472,310
598,206
435,295
94,37
10,3
19,10
19,10
16,8
22,10
24,14
24,10
22,12
22,13
22,10
13,6
13,2
48,40
205,40
111,41
117,48
129,79
149,97
11,2
11,9
11,2
18,10
38,30
17,9
32,21
41,23
71,15
63,47
63,33
60,15
54,11
27,8
27,16
25,17
25,8
26,14
14,4
510,157
323,205
10,2
16,12
45,31
61,20
158,58
67,32
28,14
10,3
13,11
13,2
41,33
58,46
70,50
218,90
414,130
689,476
497,346
424,324
428,100
582,395
524,340
220,79
54,21
25,7
48,33
91,31
105,37
190,81
206,86
523,284
628,363
797,551
813,248
786,553
232,80
218,65
214,64
39,13
18,11
16,9
12,4
15,8
13,6
156,109
36,8
705,498
362,248
355,124
15,8
11,7
16,12
15,4
15,4
13,2
36,23
124,47
14,8
15,9
174,111
10,8
15,11
54,9
54,9
54,43
14,11
12,10
13,2
37,27
114,94
298,250
288,236
261,213
97,26
84,50
20,8
14,7
11,7
11,4
11,4
13,4
13,9
10,2
11,2
21,6
31,19
17,6
14,4
106,80
290,97
438,280
256,180
673,233
62,14
236,128
245,115
200,166
131,58
55,32
42,9
10,4
15,6
21,14
27,7
32,10
34,12
35,22
30,10
13,8
24,5
135,70
292,196
290,95
398,103
385,233
369,273
212,154
19,12
10,6
10,4
25,12
11,9
19,11
22,8
22,14
22,14
22,8
17,8
12,8
10,3
11,4
22,16
22,5
24,17
13,4
55,14
163,113
316,224
372,275
278,192
169,104
136,95
53,35
106,32
36,23
20,3
14,6
26,10
29,13
11,6
175,51
268,164
430,159
159,106
23,6
11,3
45,15
154,126
91,52
12,8
20,7
26,18
24,12
22,7
50,18
50,37
56,38
58,42
25,21
304,92
18,4
20,10
41,11
26,6
55,33
137,71
649,522
730,408
1148,332
1133,336
224,117
186,151
14,6
14,5
12,7
11,8
12,6
29,12
46,39
314,163
327,89
277,181
264,92
261,126
221,136
656,225
78,38
63,31
19,16
18,10
118,38
23,11
11,2
11,9
11,9
11,2
11,2
12,8
12,10
13,3
68,22
53,11
405,127
12,10
12,10
64,40
180,110
807,275
27,12
75,44
121,43
454,159
221,77
502,337
18,7
30,16
75,59
88,14
88,55
88,55
88,16
88,65
12,6
11,7
12,5
46,19
43,26
43,17
42,25
41,26
41,26
31,11
20,17
20,17
20,17
15,8
22,8
12,9
22,6
175,111
122,51
495,359
550,200
39,13
19,3
18,3
16,3
13,10
81,55
161,112
377,133
228,74
45,12
19,13
37,9
39,28
57,12
212,79
287,195
245,71
17,10
12,3
10,4
378,111
1162,721
823,260
229,177
214,87
46,26
18,7
15,11
14,9
24,15
39,17
44,7
458,279
15,8
92,50
96,23
804,533
56,15
24,11
10,5
11,9
34,6
50,24
27,16
212,51
151,37
104,42
77,47
456,136
379,246
637,237
614,224
13,11
15,4
26,12
27,6
26,11
26,11
22,6
20,9
751,233
730,458
11,2
416,291
191,149
109,23
88,22
17,14
16,9
27,17
27,10
49,24
79,38
252,156
250,94
247,151
224,87
69,20
179,31
181,31
233,181
233,181
236,52
233,52
213,42
218,42
213,171
211,42
203,42
209,42
211,46
259,97
230,105
224,106
222,106
197,88
180,84
162,77
225,133
222,133
216,127
197,111
188,103
188,85
189,103
198,79
192,78
155,60
154,60
130,79
169,50
184,156
161,27
88,54
42,9
16,5
17,4
27,19
97,65
121,67
135,35
144,92
163,54
163,103
142,100
102,74
23,11
159,59
85,34
32,16
30,21
23,9
25,14
25,19
22,12
19,15
13,11
27,5
31,26
59,37
102,73
111,93
121,22
130,81
98,27
98,62
19,12
22,10
120,89
122,34
146,61
147,48
15,9
15,6
82,23
82,14
82,48
56,14
35,25
17,6
291,107
84,37
48,22
32,18
75,58
252,178
560,409
44,8
35,29
81,50
87,31
447,366
444,81
541,384
536,151
522,380
509,139
36,30
33,5
30,9
239,170
129,53
284,91
300,200
719,468
385,274
265,79
243,78
244,79
196,74
26,8
11,2
11,5
11,7
11,2
14,3
60,24
74,47
156,103
143,48
114,70
33,8
40,29
41,29
21,6
46,31
171,122
36,17
14,10
15,10
78,23
79,45
17,6
10,7
12,10
12,7
15,5
10,4
183,123
66,47
203,138
258,195
271,67
420,265
445,281
432,324
460,163
406,300
185,155
111,87
10,5
10,5
11,8
17,9
35,14
47,19
24,11
456,266
103,67
107,69
105,67
31,11
17,8
56,25
57,31
83,17
202,122
193,139
148,60
32,22
44,19
29,23
11,2
20,5
353,280
268,149
332,201
331,89
551,190
524,184
469,297
283,153
268,136
268,131
281,155
281,130
287,157
302,122
307,184
478,297
826,511
322,101
185,54
437,293
461,306
188,126
186,126
134,92
26,21
358,160
371,262
337,249
233,188
24,10
18,7
11,8
15,5
26,13
16,10
11,2
10,6
27,14
33,13
33,13
36,21
41,17
41,17
41,17
41,24
41,24
49,26
45,23
46,23
46,23
46,35
46,23
46,23
12,8
13,7
495,176
528,178
81,49
18,14
10,6
25,21
26,4
30,22
24,7
41,16
43,28
41,13
36,26
32,22
289,80
406,136
180,124
28,8
666,247
10,6
22,6
982,669
36,11
97,33
179,97
226,138
247,123
243,142
219,56
213,128
211,91
211,35
211,55
206,121
205,120
130,44
128,42
123,87
107,82
95,77
73,60
72,33
43,10
18,12
10,2
10,8
13,9
23,17
46,35
49,12
141,32
693,190
551,416
178,144
14,9
55,42
10,3
87,31
347,216
403,134
43,18
59,15
169,109
214,135
211,53
11,2
17,6
16,10
95,59
417,175
381,225
409,156
113,30
106,80
20,16
10,4
14,3
19,3
19,3
19,16
183,48
248,191
284,198
303,243
14,3
14,7
11,7
12,2
61,26
93,57
59,25
12,9
22,15
16,5
25,15
346,116
20,15
19,5
10,2
420,136
39,7
42,35
708,246
683,424
47,31
74,20
41,14
703,422
893,350
713,250
480,164
593,430
596,232
182,49
124,34
531,335
33,21
30,23
14,10
29,9
36,25
63,19
70,48
67,47
46,32
22,17
13,4
16,10
21,10
20,9
17,7
112,79
43,34
28,10
17,8
12,10
154,25
13,3
594,120
815,202
933,683
1344,472
1145,451
1108,675
881,333
692,502
657,175
633,177
586,177
58,45
47,8
13,5
10,8
10,3
10,7
29,24
18,6
10,4
148,37
27,19
56,25
24,20
24,20
61,21
12,10
23,4
10,5
14,5
70,13
84,14
85,21
67,50
29,14
13,2
60,30
15,5
20,7
51,13
52,14
64,44
103,44
210,84
227,91
184,56
185,127
122,94
31,15
17,9
960,282
787,493
11,4
17,10
17,14
14,9
33,17
29,16
19,11
10,8
13,2
11,2
11,9
71,26
579,424
26,22
61,44
74,18
47,35
10,3
164,50
129,47
13,11
15,11
17,4
17,7
10,3
22,17
27,6
29,24
29,5
47,14
44,14
47,33
39,14
24,13
30,9
35,20
107,62
477,286
581,414
309,97
32,25
33,8
58,29
159,56
369,258
305,115
11,5
103,72
37,26
15,10
18,15
40,8
41,8
50,8
72,59
154,39
33,20
19,3
271,77
142,98
10,4
10,2
102,77
140,111
193,153
289,82
38,10
23,19
21,17
11,7
26,18
69,28
159,71
97,63
94,65
38,12
29,23
10,6
10,6
25,12
179,66
26,7
218,60
282,173
148,60
15,4
12,10
572,224
341,112
121,90
25,17
45,33
130,97
11,4
14,4
13,11
13,2
13,2
219,144
25,20
39,20
164,119
10,8
16,6
139,50
77,41
49,14
193,65
18,3
19,15
20,16
26,4
27,7
36,30
35,12
11,2
253,165
438,151
439,152
86,17
395,271
12,6
163,131
96,23
13,6
31,22
161,110
63,35
38,15
118,47
174,108
826,667
29,8
50,16
674,441
27,21
106,24
244,85
23,15
417,137
330,108
71,25
20,5
19,4
57,12
87,36
12,3
24,10
53,10
21,15
21,6
15,7
11,5
10,6
27,15
146,50
158,108
161,127
158,124
139,43
137,28
89,23
112,40
110,20
174,66
161,112
159,25
20,9
522,152
429,295
702,506
24,15
14,4
17,4
17,3
14,8
163,48
278,190
98,69
279,81
325,223
19,5
346,217
665,242
575,214
80,17
84,70
84,14
84,69
62,10
43,10
129,83
382,165
455,152
11,4
33,14
13,4
14,5
53,35
26,13
142,29
77,40
89,46
12,4
11,5
15,6
64,14
13,11
13,2
565,330
17,4
15,4
26,22
26,4
26,4
27,22
24,20
24,19
22,13
11,9
437,267
723,222
14,10
12,4
331,111
333,93
21,11
14,7
24,12
520,315
12,2
11,6
13,2
17,5
18,6
19,3
22,17
22,5
31,16
34,18
34,18
38,18
57,47
105,65
119,75
166,39
181,136
214,166
228,105
200,156
201,52
194,93
145,108
144,97
133,70
116,56
89,64
43,25
14,11
13,2
13,11
13,4
15,3
18,12
19,16
18,15
18,12
18,6
51,10
99,51
112,48
176,35
254,91
265,91
305,49
319,51
338,228
326,85
325,274
300,218
252,193
185,126
82,56
82,26
82,56
81,55
74,20
56,47
25,4
23,19
19,4
18,4
11,9
10,8
10,2
10,8
10,4
10,4
10,4
13,8
11,5
12,4
12,4
12,8
10,4
10,4
12,2
14,9
10,4
10,6
10,6
10,6
11,6
15,11
12,10
12,2
10,4
11,6
22,15
83,54
10,8
17,4
42,19
47,18
35,22
22,13
14,8
28,23
26,7
20,7
48,26
698,241
57,21
10,5
34,21
79,56
48,40
36,6
36,10
36,6
36,28
17,9
10,6
13,7
16,8
10,8
10,2
10,2
10,8
260,93
277,168
537,342
534,335
855,312
829,537
700,474
429,299
107,76
236,142
214,134
15,12
10,7
104,40
104,64
10,6
10,6
101,41
105,44
249,164
25,8
19,10
31,19
11,9
15,4
10,4
13,7
22,10
28,7
28,7
28,21
29,7
31,10
30,6
30,16
15,4
653,450
439,288
615,406
437,289
453,318
700,462
694,444
440,132
440,129
262,193
259,69
184,40
127,99
78,62
51,14
23,18
20,15
10,7
10,7
10,8
87,72
117,27
123,91
111,32
15,11
15,4
21,16
28,21
28,17
38,8
37,7
13,2
36,12
330,222
533,352
543,197
519,169
512,169
422,130
20,4
21,6
21,6
16,12
16,12
45,33
373,204
441,187
459,310
437,290
444,147
452,141
512,355
525,367
631,468
651,434
733,240
846,581
899,342
11,8
10,8
16,4
33,25
64,14
87,17
191,45
315,254
755,178
342,63
20,17
21,4
20,4
20,16
351,120
11,9
11,2
12,6
24,13
440,157
614,424
63,23
36,15
14,10
937,792
488,411
608,425
48,30
110,77
23,14
13,2
36,13
50,23
43,23
24,4
17,13
30,25
302,229
32,27
22,5
15,3
12,6
17,10
17,10
323,182
771,491
111,78
69,24
59,36
27,15
14,9
14,9
14,5
23,11
26,13
233,144
251,156
334,119
353,240
310,95
106,73
98,69
26,9
15,6
17,6
20,7
21,8
35,20
167,124
172,70
12,8
12,9
60,22
15,3
15,9
83,50
46,14
228,54
20,8
25,10
34,7
11,5
566,182
12,8
34,17
39,19
27,16
25,8
25,4
452,255
101,26
61,44
31,22
597,395
18,4
50,20
49,23
24,14
88,72
208,93
250,138
351,183
368,96
337,238
204,131
31,16
12,7
12,7
11,6
22,10
22,12
22,12
10,3
410,257
289,236
60,21
12,2
20,4
43,31
46,12
50,12
60,35
63,17
259,98
21,16
45,24
253,158
38,24
10,7
35,15
17,10
26,7
28,16
37,12
14,8
23,19
18,12
353,237
122,30
388,276
348,259
71,46
10,3
26,19
52,23
360,231
26,6
20,9
11,2
10,8
10,6
10,4
18,8
350,235
12,8
17,14
225,79
281,193
704,243
676,223
766,533
18,14
18,4
18,14
16,8
15,11
19,8
21,5
42,7
293,243
98,78
65,10
30,21
13,11
41,16
23,17
18,14
10,2
13,3
68,55
17,6
39,16
75,62
83,38
66,32
42,20
36,16
34,18
33,15
30,18
19,7
10,4
12,4
11,9
11,2
11,9
11,7
11,7
11,4
17,8
22,14
24,14
49,28
194,71
641,187
674,572
677,214
661,210
545,152
511,368
461,340
394,305
165,130
93,77
51,42
35,20
19,8
75,40
63,53
50,10
50,36
36,26
36,10
33,7
23,6
349,101
17,6
17,6
18,12
17,6
17,6
19,7
19,13
18,5
18,13
15,6
29,10
11,4
13,10
12,10
17,6
50,35
66,41
69,44
74,46
83,21
87,31
96,28
142,40
160,111
170,51
197,129
361,94
531,401
532,398
399,154
577,408
517,166
546,307
571,474
551,457
540,135
339,221
547,350
546,196
651,336
805,240
835,347
829,343
98,28
96,68
62,39
55,35
32,6
24,5
20,16
13,5
13,8
306,208
324,219
18,9
29,16
10,4
10,4
13,7
38,15
345,208
311,214
76,16
49,37
21,15
207,130
188,130
205,144
357,262
54,37
33,12
34,16
33,6
29,5
20,16
101,68
197,37
224,104
275,123
299,136
530,308
591,192
556,232
537,224
535,311
403,159
369,144
216,167
131,98
88,60
86,58
57,39
55,37
46,14
43,29
40,13
32,25
91,30
104,43
32,22
87,24
11,4
162,47
30,10
52,21
24,12
17,9
11,7
10,2
16,5
17,11
42,33
49,33
71,30
78,33
78,64
89,71
89,41
87,67
76,55
64,12
63,51
52,11
47,25
39,32
37,7
16,6
10,8
12,10
14,3
389,109
345,227
26,22
18,11
27,12
138,88
84,56
84,28
76,52
43,19
12,4
10,2
32,11
473,182
20,13
27,19
37,10
18,4
13,3
11,2
96,63
134,82
15,8
17,14
135,29
21,10
34,10
12,8
232,170
289,206
374,120
74,43
106,66
72,14
386,142
375,243
385,250
407,150
57,38
41,17
43,17
417,137
465,304
16,9
10,2
16,10
45,12
88,71
677,335
40,25
41,26
130,83
332,219
315,123
10,6
38,12
24,7
35,20
32,19
333,123
340,127
244,155
1033,688
1073,732
504,365
341,242
18,8
14,8
31,24
31,17
30,14
32,14
14,4
29,8
25,8
23,15
12,4
13,6
23,18
13,3
12,3
40,7
292,188
410,272
404,146
257,187
11,3
109,40
608,422
631,176
701,239
466,156
11,3
11,8
11,8
41,26
74,43
151,102
155,47
156,108
303,169
470,285
187,99
338,199
385,233
403,143
26,18
14,8
49,41
52,36
52,44
45,8
43,14
33,20
21,7
10,7
37,29
26,19
12,3
13,10
14,4
18,15
22,14
28,6
38,29
38,32
41,7
52,10
70,24
103,19
132,26
186,34
208,164
216,118
302,241
329,256
402,64
413,75
435,77
505,92
509,325
328,256
123,33
75,39
47,37
47,37
46,37
40,13
30,5
26,22
23,19
275,121
350,235
356,95
17,14
17,7
17,10
16,6
39,14
27,13
22,11
22,11
19,8
13,2
23,19
43,7
43,36
61,48
62,49
124,26
124,99
25,4
25,4
12,3
151,79
87,24
289,213
23,5
134,42
167,115
36,8
36,28
10,7
49,27
49,29
12,8
1313,228
300,195
14,10
15,8
24,13
26,13
73,38
76,36
80,36
15,5
14,9
18,6
10,2
16,3
21,14
21,7
40,28
58,15
324,245
255,90
78,50
35,23
20,9
24,10
55,14
96,34
528,335
59,33
31,6
33,27
10,2
12,8
15,8
15,7
16,8
16,8
16,8
19,11
20,12
20,8
20,8
12,2
226,113
282,145
293,129
333,240
16,13
659,220
11,9
42,8
42,34
28,6
11,2
46,34
868,341
1071,161
2158,1749
1642,1095
1190,396
1107,850
1124,836
1188,345
886,568
878,685
797,381
815,338
790,146
809,683
818,147
781,260
527,344
288,73
104,25
93,24
24,4
30,7
39,8
65,12
71,13
71,12
75,48
227,73
32,25
70,31
25,19
40,16
242,178
13,11
121,63
105,28
11,9
26,4
649,189
542,188
306,99
110,70
33,15
20,13
17,9
10,6
77,13
106,66
10,6
16,12
20,8
20,8
20,12
20,16
20,12
11,9
33,10
54,16
107,41
83,35
43,34
12,10
91,37
13,5
33,15
35,17
38,20
41,21
112,50
127,70
131,73
130,57
125,69
24,16
23,15
17,14
21,13
29,20
40,18
40,22
113,54
120,75
124,104
127,106
103,75
93,75
87,25
70,17
67,52
58,26
58,17
52,37
45,37
45,37
10,2
16,4
16,12
10,4
28,19
29,10
29,19
249,203
379,88
374,171
340,249
299,169
290,83
222,136
200,150
243,155
231,141
132,77
52,26
768,521
972,589
19,12
23,4
236,70
47,32
17,14
53,11
96,18
102,84
125,23
134,38
188,150
203,45
424,108
158,116
144,29
85,21
74,57
10,6
10,6
10,4
10,4
11,7
11,9
23,14
84,35
360,186
362,191
417,246
560,361
519,225
522,439
508,273
296,241
276,226
189,40
56,23
53,31
11,6
14,11
24,14
45,34
210,78
655,247
698,264
380,138
307,194
79,24
59,13
29,21
29,21
28,8
81,48
135,62
316,160
292,177
423,261
15,9
418,122
12,2
60,30
204,69
257,175
104,66
18,10
26,12
26,14
25,8
368,240
168,119
53,37
10,2
14,4
232,194
180,68
54,34
11,9
32,7
335,58
790,624
127,98
220,46
132,31
141,32
444,91
526,110
256,197
232,183
233,188
193,40
13,11
18,4
20,14
777,522
321,100
56,23
24,17
15,9
19,10
32,20
32,20
50,31
43,14
21,14
30,12
673,443
82,57
12,2
12,2
18,10
31,10
42,30
42,30
40,28
40,28
10,6
23,9
25,14
35,11
35,27
13,9
126,44
129,82
245,166
248,166
332,104
752,475
37,7
18,4
10,4
10,4
19,13
83,67
84,67
98,62
95,35
77,45
67,25
15,7
60,20
339,101
579,378
601,396
620,195
444,305
897,344
18,10
111,34
254,75
325,223
14,10
38,24
254,92
35,26
20,15
373,154
526,190
93,31
56,9
52,9
42,9
20,11
373,218
433,237
248,188
240,36
201,31
90,17
34,17
14,8
12,5
21,6
30,11
47,9
85,55
204,138
249,199
248,48
230,42
114,90
88,15
53,41
13,4
10,6
102,78
187,141
10,8
10,8
512,170
451,308
230,107
81,37
19,13
19,13
19,13
22,16
23,6
23,17
33,6
35,29
35,6
36,6
36,30
50,8
28,21
11,9
11,4
11,3
11,2
11,9
116,72
117,46
56,21
200,134
603,212
613,212
551,334
371,131
327,204
310,193
23,13
22,9
14,8
87,33
177,118
491,151
493,152
504,173
524,374
728,468
259,60
329,219
257,105
227,136
132,85
75,45
22,14
45,37
55,13
16,10
39,19
34,16
25,18
13,11
13,8
13,8
16,8
44,29
33,16
27,21
21,11
601,417
10,6
11,5
16,10
18,15
22,15
34,27
35,7
42,7
22,8
57,21
14,3
216,158
672,228
17,14
89,48
40,12
34,22
11,9
266,55
302,229
28,20
19,11
19,5
14,7
22,9
24,15
24,16
21,14
19,7
16,9
26,11
46,17
55,11
55,22
67,11
83,48
91,40
75,32
72,32
50,22
38,25
30,9
11,8
30,22
30,8
13,10
13,7
16,5
22,7
43,23
43,33
18,15
52,21
11,4
11,5
10,6
110,68
539,154
24,12
28,22
27,13
12,4
17,10
17,6
17,10
16,11
13,7
28,10
16,12
395,112
409,264
765,541
659,448
249,164
186,133
173,74
130,64
148,110
136,71
92,45
67,51
79,20
79,20
321,210
414,268
38,18
49,21
55,30
55,25
55,23
61,27
68,27
44,29
44,15
16,12
350,147
511,185
646,241
681,232
635,467
682,220
679,220
705,471
646,208
596,164
718,251
739,258
717,260
537,337
256,80
155,40
152,40
119,37
106,75
71,52
60,43
57,17
48,35
17,12
26,4
45,25
68,23
56,38
50,14
39,6
35,29
35,29
22,4
10,8
25,17
67,29
83,19
19,5
18,5
10,2
31,8
14,3
16,3
14,3
13,10
14,4
14,4
12,10
11,2
13,9
10,8
15,4
15,11
15,11
13,11
13,11
17,13
56,36
26,16
26,10
35,28
16,11
80,58
21,8
32,21
42,28
44,29
40,29
10,8
111,84
149,35
524,318
74,45
29,19
38,30
26,4
11,3
11,2
10,4
48,35
111,31
217,66
285,92
359,148
438,286
588,403
595,410
679,171
661,137
591,474
539,444
713,576
723,135
802,170
871,646
894,253
234,122
128,55
91,67
85,50
28,13
10,4
22,10
75,28
51,20
11,9
343,101
543,159
22,8
33,22
116,37
315,91
108,44
89,36
50,14
84,28
20,4
35,27
67,50
11,3
13,2
67,12
67,12
59,12
43,20
11,2
15,9
10,8
10,8
34,14
32,14
10,4
10,4
10,6
10,4
10,6
53,14
63,20
63,20
65,19
65,42
37,19
10,3
11,4
13,11
13,4
12,9
26,12
30,18
41,13
533,377
10,7
245,71
20,16
27,12
503,347
138,79
19,11
22,16
16,6
700,437
674,434
580,204
525,361
506,149
502,153
335,227
173,93
362,118
351,245
20,15
88,46
44,37
50,12
136,98
127,72
121,84
103,29
42,20
22,14
22,8
20,14
26,14
11,3
12,4
10,4
11,9
21,8
38,19
47,31
162,106
166,55
206,134
160,130
11,9
12,8
23,7
40,21
19,8
19,9
14,7
11,2
12,10
12,2
12,10
14,7
76,16
146,108
225,160
255,97
259,101
276,99
290,80
306,77
289,225
248,53
215,176
27,18
30,19
60,15
106,46
140,35
251,67
590,223
750,214
781,498
783,574
660,185
427,142
421,142
421,143
77,50
67,24
12,10
11,7
49,28
60,26
66,29
66,29
11,6
11,6
314,196
10,5
13,8
23,17
22,17
42,35
43,8
45,37
35,22
11,2
11,5
28,9
49,16
70,25
122,40
14,11
14,3
27,7
66,15
10,8
11,4
11,7
10,4
31,8
49,31
59,37
28,12
17,8
12,6
12,6
11,8
245,149
373,232
822,268
11,4
13,5
30,25
53,29
32,21
10,5
10,5
24,14
29,13
30,9
55,36
79,24
175,49
202,73
208,152
336,103
354,231
384,266
379,265
382,135
368,114
370,102
398,92
429,108
493,180
555,161
554,163
567,389
497,174
411,116
410,293
404,289
377,270
267,188
180,114
176,40
129,26
105,60
264,112
103,43
29,21
17,10
17,7
13,4
55,15
52,37
12,8
37,24
37,14
22,6
14,9
29,18
78,36
11,9
16,8
319,118
136,44
388,262
44,18
138,38
103,31
14,10
14,10
18,12
12,2
44,16
14,4
10,2
10,4
39,18
425,110
448,329
373,115
341,108
307,76
492,118
575,431
619,152
884,629
370,121
344,115
244,163
185,123
96,27
10,4
13,11
13,4
440,300
216,165
53,9
49,40
28,23
12,6
30,24
44,34
54,41
10,2
10,6
305,133
13,4
14,8
27,12
16,13
205,59
24,5
10,8
10,2
12,3
99,34
23,19
10,8
11,4
54,31
58,30
97,51
103,47
112,60
158,86
12,4
13,4
13,9
19,4
19,4
19,4
28,9
28,22
28,20
28,21
13,8
50,25
31,15
11,6
13,9
18,10
18,10
19,6
19,11
18,8
18,13
18,9
16,4
16,6
14,10
26,21
28,20
25,17
23,15
23,8
23,15
22,15
22,15
10,7
18,10
243,148
266,107
238,153
149,101
140,99
67,22
151,52
269,195
63,45
10,3
44,31
51,34
40,13
13,11
98,68
197,55
227,161
541,181
27,15
13,7
22,15
21,6
22,15
11,9
16,6
18,7
32,10
310,108
469,308
532,316
531,206
507,196
457,282
272,102
262,100
110,69
90,35
12,9
17,5
229,145
30,6
21,4
20,17
11,2
63,15
353,127
18,11
55,34
56,34
13,11
38,6
47,39
47,10
20,17
20,17
19,4
15,4
12,8
20,17
23,15
44,27
43,13
42,31
10,4
18,8
83,19
120,72
121,87
58,23
11,7
69,44
66,43
54,29
40,28
104,69
487,346
542,164
219,71
19,13
20,16
171,113
10,8
12,10
13,10
15,10
15,7
63,24
93,44
104,55
143,62
142,74
144,74
71,43
23,9
14,6
14,10
10,7
31,13
89,57
57,19
67,47
60,39
543,358
17,13
13,9
17,4
11,9
42,18
41,33
39,18
38,20
28,20
10,5
12,2
33,6
13,9
13,9
13,5
21,13
341,223
593,390
10,2
63,19
155,39
422,117
279,173
231,85
17,9
10,4
31,12
32,10
52,25
26,18
76,28
96,71
73,23
16,11
170,65
163,101
157,49
86,33
14,7
15,9
14,9
92,37
315,237
266,162
32,24
488,342
414,275
343,121
234,165
144,96
164,48
153,42
57,13
16,4
16,4
14,8
14,8
14,8
14,8
12,6
49,32
99,23
115,40
111,78
15,11
26,21
74,34
58,30
58,28
39,19
399,284
506,332
46,10
24,6
89,21
388,101
233,179
86,26
80,34
80,34
77,46
54,23
394,212
212,97
200,87
138,89
54,36
14,6
13,2
10,3
502,347
10,7
23,14
10,6
12,7
12,5
12,7
14,7
13,7
15,9
11,2
19,4
19,14
19,15
20,4
25,13
20,12
14,10
47,37
154,52
11,4
18,10
10,6
19,15
35,17
14,8
20,3
273,162
1229,714
1005,645
853,613
742,276
758,255
15,12
17,5
22,7
30,12
30,12
36,28
33,6
10,8
552,162
478,328
412,161
409,248
435,201
430,198
328,180
295,120
207,76
98,30
46,35
43,23
28,20
27,19
20,4
16,4
114,45
11,9
28,8
24,19
43,31
12,8
12,5
18,15
10,2
442,314
679,403
559,414
126,94
26,21
26,5
40,10
50,10
50,10
57,43
236,77
271,176
52,39
17,12
16,13
61,20
103,23
192,62
409,132
105,63
89,15
16,3
21,17
17,7
17,7
200,122
20,17
14,4
18,14
20,17
43,14
199,73
300,204
250,142
13,2
10,6
78,36
40,24
18,10
21,7
30,20
129,85
15,10
17,14
84,26
336,104
215,134
134,99
14,8
12,5
46,32
22,14
142,95
165,111
242,170
328,78
336,262
338,264
310,62
305,243
302,62
254,59
215,55
116,21
79,12
70,11
14,6
40,13
46,28
14,4
21,17
29,16
31,18
15,11
252,165
173,136
603,181
417,153
200,65
11,9
10,6
14,11
22,4
11,9
11,8
123,89
220,136
39,8
10,6
27,13
48,27
47,32
439,149
231,160
34,22
26,6
12,5
48,35
80,24
335,224
144,47
23,6
173,49
188,77
258,99
241,58
310,108
299,92
301,195
218,139
183,121
654,251
972,664
845,579
20,14
43,30
48,35
60,9
274,70
23,9
111,80
96,57
20,16
200,70
231,67
95,23
242,159
34,15
14,8
85,67
212,70
203,43
94,65
74,27
127,35
10,2
12,10
23,9
72,43
191,87
344,182
